first_name,last_name,birth_date
Narain,Reeker,7/7/1956
Jolita,Jarecki,4/9/1958
Shichao,Litvinov,12/3/1952
Kazuhira,Rosis,7/29/1956
Junichi,Kavanagh,1/10/1957
Aleksandar,Sudkamp,9/28/1959
Wonhee,Badr,1/22/1961
Sverrir,Streng,12/17/1963
Stepehn,Hardjono,1/24/1963
Oddvar,Schlenzig,11/10/1963
Gina,Engelmann,1/6/1961
Gal,Karcich,10/26/1956
Ung,Zaiane,5/20/1954
Claudi,Shackel,3/13/1963
Jiakeng,Himler,12/25/1954
Dipayan,Suomi,1/30/1956
Jouko,Yamaashi,11/30/1963
Kokou,Iisaka,1/1/1965
Guoxiang,Trogemann,12/7/1952
Make,Baba,1/25/1965
Goa,Pleszkun,7/17/1961
Amstein,Kossowski,8/24/1952
Elvia,Homond,8/24/1958
Huiqun,Vuskovic,9/28/1961
Garnik,Narahari,9/9/1964
Lobel,Kumaresan,4/3/1957
Anyuan,Zhiwei,5/24/1961
Pramod,Rabehasaina,6/9/1953
Isamu,Auria,2/4/1964
Keung,Slobodova,2/13/1960
Yuichiro,Schicker,7/7/1959
Raimond,Kirkerud,12/15/1963
Xiadong,Luga,2/20/1960
Tiina,Speek,6/18/1953
Kwangsub,Setia,7/31/1957
Yuchang,Lunt,3/29/1963
Koichi,Lakshmanan,5/16/1963
Boriana,Coors,7/19/1956
Mary,Wossner,8/31/1959
Mohamadou,Smailagic,6/25/1963
Yechiam,Sambasivam,10/29/1964
Stella,Benzmuller,6/29/1962
Przemyslawa,Falby,8/18/1955
Yucel,Reinhard,5/13/1959
Martins,Barriga,2/24/1961
Lein,Lichtman,10/6/1962
Hauke,dAstous,1/12/1963
Ramalingam,Gunderson,6/12/1952
Beshir,Kisuki,3/20/1957
Kazuhito,Shiratori,3/25/1953
Rajmohan,Wallrath,2/8/1964
Vitaly,Picci,9/25/1962
JoAnna,Taubman,12/31/1962
Hisao,Famili,10/8/1964
Arumugam,Comellas,1/18/1956
Serge,Joslin,9/7/1958
Shuky,Pearson,4/17/1963
Gao,Poulakidas,12/2/1953
Alassane,Morrin,10/30/1958
Tetsushi,Speel,2/23/1964
Xiaoqiu,Krychniak,8/23/1957
Aiman,Stentiford,7/17/1958
Prasadram,Stille,3/3/1964
Mana,Papastamatiou,7/12/1961
Sajjad,Willoner,11/10/1963
Behnaam,Srimani,3/4/1962
Subbu,Sanella,9/25/1958
Hidde,Hettesheimer,12/22/1952
Almudena,Alvarado,8/1/1964
Falguni,Kenevan,7/24/1952
Sanjit,Coors,1/24/1954
Lucien,Schaad,5/7/1961
Douadi,Wossner,11/27/1959
Wayne,Restivo,8/2/1955
Rosalyn,Hambrick,11/30/1964
Janche,Zhang,10/2/1956
Tommaso,Marwedel,5/5/1958
Vivian,Kusakabe,4/27/1961
Hinrich,Siepmann,2/3/1962
Aleksander,Danlos,7/11/1953
Leszek,Petereit,2/8/1958
Lalit,Francisci,3/23/1954
Yoshimitsu,Velardi,4/5/1960
Sorina,Herber,2/9/1957
Heejo,Frolund,7/11/1954
Anneke,Meszaros,11/9/1958
Pranas,Benaini,2/22/1962
Remko,Dalton,2/2/1959
Junsik,Rijckaert,11/21/1956
Arto,Serra,10/17/1959
Zhonghua,Reeker,10/3/1964
Maren,Granlund,3/20/1959
Shunichi,McAffer,4/23/1962
Parviz,Rebaine,6/12/1953
Bluma,Zeilberger,3/23/1954
Ymte,Waschkowski,3/26/1960
Valeri,Danley,8/26/1953
Alejandra,Perng,2/20/1963
Chriss,Gide,8/21/1958
Florina,Garnier,12/25/1964
Zongyan,Cusworth,1/14/1959
Xiaopeng,Lanphier,2/28/1964
Matt,Jumpertz,9/6/1962
Larisa,Bage,8/11/1960
Zorica,Acton,8/30/1962
Unal,Fendler,3/23/1952
Hyuncheol,Zolotykh,9/30/1961
Giri,Baumann,6/13/1958
Hironobu,Wynblatt,6/17/1963
Gonzalo,Eldridge,10/11/1959
Sorina,Kermarrec,12/25/1962
Jagoda,Naumovich,4/14/1959
Serap,Tasistro,1/27/1956
Adib,Rullman,12/19/1955
Dung,Gornas,10/3/1960
Garnet,Isard,10/22/1958
Saeed,Kitai,6/16/1959
Mohit,Janetzko,7/22/1962
Fumitaka,Peak,11/17/1952
Vincent,Schwartzbauer,10/10/1960
Suzette,Sadowski,4/19/1956
Shim,Wiegley,3/13/1955
Kiyomitsu,Peltason,12/26/1963
Yaghout,Syang,2/17/1957
King,Brendel,8/21/1955
Pradeep,Harbusch,9/30/1958
Chenyi,Feinberg,9/8/1956
Giap,Bolsens,4/15/1962
Yunming,Beetstra,1/12/1953
Ishfaq,Candan,6/24/1955
Vishv,Bouloucos,11/2/1962
Bedir,Perry,6/18/1956
Mahmut,Skafidas,1/27/1958
Selwyn,Merey,3/13/1953
Yurij,Schonegge,4/1/1962
Chinya,Birdsall,9/4/1962
Supot,Naudin,12/14/1954
Uinam,Zschoche,3/5/1953
Giap,Matzel,10/17/1958
Munehiro,Zallocco,6/23/1964
Lijie,Lunn,10/23/1957
Nidapan,Dymetman,9/17/1952
Baocai,Pena,11/12/1956
Fan,Fairtlough,3/27/1958
Arnd,Anandan,12/6/1952
Willard,Danley,9/25/1953
Godehard,Gammage,10/12/1962
Toong,Driscoll,10/11/1953
Hidde,Bergere,8/29/1964
Jianhua,Leivant,7/15/1953
Chuanti,Karlin,2/6/1957
Hidde,Tasistro,12/24/1960
Makato,Mayerwieser,3/5/1953
Florina,Schapire,1/1/1963
Hercules,Munck,11/24/1959
Fusako,Stenning,6/11/1957
King,Bernini,10/16/1961
Zhenbing,Kadhim,1/19/1956
Elliott,Spieker,1/7/1958
Danco,Etalle,3/16/1961
Shahid,Leppanen,7/23/1956
Sukumar,Wegerle,7/9/1952
Mahmut,Borstler,1/18/1958
Vincent,Papastamatiou,8/5/1955
Lakshmi,Deville,6/13/1952
Muzhong,Chleq,8/18/1953
Rayond,Cronau,5/6/1953
Lunjin,DeMori,1/16/1953
Cheong,Coors,6/21/1956
Ramzi,Furudate,4/13/1963
Danil,Kropatsch,1/30/1960
Suebskul,Srimani,8/21/1958
Vishwani,Petersohn,3/21/1952
Arno,Kumaresan,5/27/1958
Munenori,Markovitch,11/10/1961
Munehiro,Carrere,2/6/1952
Georgi,Atchley,11/11/1954
Shay,Casley,7/22/1959
Narain,Thummel,9/3/1952
Mizuhito,Prochazka,4/26/1956
Valery,Skafidas,3/11/1961
Tesuya,Slaats,5/10/1956
Susumu,Reghbati,12/26/1954
Reinhard,Lindenbaum,9/4/1961
Mara,Bahi,7/20/1955
Hironoby,Atchley,4/27/1954
Abdulla,Beutelspacher,6/30/1963
Shaowei,Iisaku,5/11/1958
Aleksander,Fioravanti,1/7/1953
Shaz,Kabayashi,9/8/1956
Shigeichiro,Wroclawski,8/14/1953
Jahangir,Laventhal,6/23/1956
Urs,Danley,2/24/1959
Huican,Katalagarianos,11/7/1958
Kerryn,Vigier,6/19/1956
Billur,Braunschweig,10/24/1959
Weiwu,Choobineh,3/28/1957
Naraig,Kugler,8/23/1956
Takushi,Bolsens,4/2/1962
Eckart,Braunschweig,7/10/1955
Danel,Pardalos,7/4/1962
Lakshmi,Kolinko,3/19/1961
Muneo,Papsdorf,3/7/1952
Elrique,Raney,9/11/1959
Filipp,Munawer,11/10/1963
Sugwoo,Dulin,7/22/1956
Munehiro,Aingworth,5/22/1957
Zhensheng,Juneja,11/26/1958
Marlo,Kandlur,2/17/1956
Insup,Benveniste,12/4/1961
Christoper,Butterworth,12/26/1962
Gennady,Menhoudj,7/11/1962
Alper,Axelband,8/30/1954
Jaques,Narwekar,3/20/1963
Moti,Hofstetter,6/13/1956
Taegyun,Speckmann,9/12/1953
Breannda,Vesel,3/31/1961
Baoqiu,Vecchi,9/22/1959
Jeanna,Riesenhuber,1/24/1965
Sibyl,Rajaraman,5/25/1957
Berthier,Luby,8/2/1960
Leon,Huttel,9/6/1954
Srinidhi,Henders,7/13/1954
Apostol,Pintelas,2/2/1964
Manton,Collavizza,6/17/1954
Georgi,Itzfeldt,7/12/1962
Ottavia,Walstra,12/20/1954
Shushma,Bahk,3/1/1957
Bangqing,Atrawala,9/25/1963
Stamatina,Matheson,1/12/1964
Jixiang,Verhaegen,1/17/1961
Jaques,Demke,10/26/1952
Gift,Apsitis,2/12/1963
Shaleah,Neiman,8/10/1956
Palash,Speel,10/24/1955
Adly,Vural,2/13/1959
Shawna,Jarecki,5/26/1962
Genevieve,Pokrovskii,6/30/1953
Pintsang,Erni,11/11/1954
Pragnesh,Luff,6/21/1960
Yuriy,Clemencon,5/28/1959
Karsten,Belinskaya,10/28/1954
Barry,Boyle,6/20/1952
Shimshon,Ducloy,7/9/1954
Hailing,Thummel,9/8/1953
Changho,Jayawardene,5/17/1954
Souichi,Ramsay,10/10/1952
Narain,Stamatiou,9/28/1954
Shugo,Zallocco,2/21/1962
Jovan,Rissanen,12/18/1957
Woody,Spataro,7/12/1958
Bernardo,Carrera,3/14/1959
Sanjai,Penttonen,12/10/1960
Holgard,McAlpine,12/17/1956
Aris,Iwayama,2/23/1955
Martijn,Meriste,6/19/1958
Shahab,Peng,4/28/1953
Bluma,Kavvadias,6/29/1958
Masato,Curless,12/15/1961
Herb,Cooley,10/21/1956
Gladys,Porenta,7/12/1963
Weiye,Zambonelli,2/18/1964
Sachar,Rajcani,5/15/1954
Bogdan,Homond,10/13/1955
Yongdong,Rosen,3/6/1955
Carrsten,Heinisuo,12/7/1954
Ishfaq,Masand,6/25/1954
Zhanqiu,Botman,1/23/1953
Domenico,Imataki,6/28/1964
Geraldo,Garigliano,5/13/1956
Georgy,Walstra,11/13/1962
Moon,Yetto,11/8/1961
Becky,Schlenzig,5/28/1960
Kauko,Narlikar,3/25/1953
Djenana,Huttel,11/17/1957
Alain,Limongiello,1/18/1961
Shmuel,Tetzlaff,5/3/1953
Kristian,Sudkamp,6/25/1963
Mingzeng,Heinisuo,12/6/1964
Kellyn,Daescu,2/12/1956
Tze,Steinauer,10/29/1962
Kazuyasu,Kushner,3/13/1956
Dante,Bodoff,3/7/1953
Saeko,Mellouli,9/26/1960
Giap,Tempesti,10/18/1957
Tadahiro,Fordan,5/11/1955
Renny,Junet,6/5/1964
Sakthirel,Yetto,6/24/1952
Tayeb,Ebeling,2/5/1962
Steen,Sury,7/14/1954
Saniya,Valtorta,5/29/1952
Yurij,Rissland,12/11/1952
Teruyuki,Peternell,8/10/1961
Elgin,Ibel,3/3/1961
Rimon,Sury,3/30/1959
Utz,Perng,2/22/1963
Yishai,Neimat,9/1/1956
Weicheng,Crelier,11/10/1958
Margareta,Akiyama,5/18/1961
Tooru,Vingron,6/17/1961
Marek,Orlowska,1/27/1963
Brendon,Salinas,3/21/1964
Gurbir,Kenevan,2/27/1957
Kiam,Condotta,8/12/1955
Yolla,Clemencon,9/23/1956
Jaideep,Pews,3/24/1960
Uinam,Tsukuda,11/8/1956
Sverrir,Cusworth,8/15/1957
Bezalel,Chinal,10/16/1955
Gudjon,Ratzlaff,6/6/1960
Weidon,Pews,6/19/1958
Amalendu,Gronowski,1/13/1960
Claudi,Demri,9/5/1963
Bokyung,Melski,12/24/1962
Uma,Oehlmann,3/15/1964
Shaunak,Zaumen,10/18/1955
Garnik,Slutz,4/2/1962
Hidde,Rajaraman,9/1/1959
Frederique,Molenkamp,12/23/1961
Hitomi,Eppinger,10/18/1955
Lillian,Restivo,1/4/1964
Josyula,Schaad,1/31/1964
Shmuel,Codenie,2/25/1964
Joydip,Gini,12/4/1964
Sreenivas,Farrag,8/16/1963
Domenico,Eastman,3/23/1953
Visit,Dredge,5/7/1953
Naftali,Birge,10/12/1958
Abdelkader,Lanzelotte,2/3/1953
Jiong,Alvarado,8/8/1956
Rajmohan,Azadmanesh,3/1/1959
Subhankar,Reeken,11/1/1956
Mohd,Dratva,11/8/1963
Jianhua,Swab,2/1/1961
Hyuckchul,Bahk,4/28/1958
Paraskevi,Kusalik,6/21/1962
Neven,Meriste,4/21/1955
Gopalakrishnan,Unno,9/9/1964
Samphel,Rossi,2/6/1952
Xiong,Ferriere,10/13/1958
Limsoon,McConalogue,3/1/1956
Chriss,Adachi,8/21/1961
Yurij,Vural,8/13/1961
Kazuhisa,Gewali,4/25/1963
Kwangsub,Hanratty,11/3/1954
Youngkon,Maierhofer,8/11/1964
Jungsoon,Fiebach,4/25/1962
Kristina,Vasanthakumar,1/1/1957
Utpal,Berztiss,1/30/1960
Shim,Gecsei,9/12/1962
Nevin,Petereit,4/21/1960
Subhrajyoti,Jayawardene,7/4/1958
Fen,Schach,5/24/1953
Tooru,Hockney,11/24/1963
Jenwei,Milicia,4/27/1962
Toshimi,Shinomoto,11/17/1953
Christophe,Slobodova,12/7/1962
Dmitri,Noriega,8/13/1960
Dayanand,Rosti,1/26/1960
Shir,Vural,9/6/1960
Ronnie,Provine,12/29/1959
Fatemeh,Reeken,1/27/1956
Freyja,Brizzi,2/9/1957
Baocai,Soicher,12/12/1962
Eberhardt,Gini,4/11/1955
Shahab,Serot,1/13/1961
Werner,Demeyer,2/25/1963
Eishiro,Pearson,8/8/1952
Zijian,Oxman,12/18/1957
Anneli,Cyne,11/20/1954
Shuky,Schwartzbauer,9/1/1958
Haldun,Iisaka,8/15/1963
Nagui,Kaminger,2/22/1957
Georgi,Klassen,1/23/1957
Utpal,Lichtman,5/29/1962
Christfried,Lindqvist,2/25/1961
Fei,Wendorf,9/29/1957
Marlo,Aingworth,11/16/1954
Szabolcs,Nivat,5/30/1962
Rasiah,Billawala,7/23/1961
Kotesh,Asser,3/30/1955
Eben,Rajaraman,5/5/1955
Yolla,Zedlitz,8/7/1961
Chikara,Maginnis,1/28/1959
Seshu,Bazelow,11/21/1958
Navin,Maksimenko,12/2/1955
Constantino,Ghandeharizadeh,4/18/1961
Gennady,Akazan,4/17/1953
Manton,Yoshizawa,6/20/1954
Nidapan,Ginneken,3/18/1962
Shridhar,Pleszkun,12/2/1953
Masoud,Itschner,9/13/1960
Uri,Deverell,10/16/1964
Zine,Mateescu,1/30/1959
Holgard,Siepmann,4/8/1959
Itzchak,Ramaiah,3/5/1963
Arumugam,Cairo,7/11/1963
Houman,Veldwijk,11/18/1962
Shen,Sevcikova,2/13/1957
Nathan,Picht,8/1/1953
Saeed,Ananiadou,6/16/1962
Rance,Picel,6/16/1955
Ronnie,Ritcey,5/3/1956
Arlette,Mikschl,6/2/1964
Otmar,Mahnke,7/16/1954
Ulf,Basawa,3/3/1955
Halsur,Chinen,11/26/1954
Pranas,Jervis,1/1/1958
Eldridge,Eastman,6/14/1952
Yuguang,Pezzoli,1/25/1953
Tadahiro,Huttel,4/14/1958
Tonny,Impagliazzo,4/19/1954
Alagu,Boyle,2/6/1952
Oscar,Jarecki,11/14/1956
Aemilian,Ohori,11/8/1956
DAIDA,Pehl,6/29/1955
Chanjung,Portugali,1/26/1954
Duro,Vuskovic,12/22/1964
Kyoichi,Flexer,3/30/1960
Subhrajyoti,Gonthier,8/28/1962
Tommaso,Ferretti,3/11/1956
Masasuke,Hashii,10/20/1960
Candido,Pesch,12/22/1959
Jaihie,Nollmann,6/8/1961
Terresa,Birta,1/22/1957
Rimli,Alencar,6/22/1953
Sastry,Verspoor,2/15/1958
Teiji,Mitzlaff,7/6/1954
Kasidit,Geffroy,8/29/1959
Lakshmi,Demizu,6/20/1961
Margo,Domenig,6/6/1964
Shridhar,Orsini,8/2/1963
Gina,Plessier,1/10/1955
Hilary,Nishimukai,9/21/1956
Takanari,Kamber,2/26/1953
Deniz,Ashish,3/23/1958
Somnath,Malabarba,8/9/1953
Herb,Swen,12/7/1954
Deborah,Baar,7/11/1962
Jagoda,Jonsson,4/17/1961
Sigeru,Marrakchi,8/27/1964
Annemarie,Mateescu,9/24/1956
Moni,Peha,12/6/1964
Gian,Juneja,2/8/1964
Taiji,Ozeki,8/14/1958
Ottavia,Baaleh,4/23/1956
Becky,Jullig,3/18/1964
Kokou,Hemaspaandra,11/10/1959
Baoqiu,Bach,1/15/1956
JoAnne,Falco,4/28/1964
Sanjit,Zaiane,4/8/1952
Olivera,Setia,4/21/1957
Lobel,Rubsam,6/22/1953
Guoxiang,Giveon,2/13/1961
Jeanne,Beutelspacher,10/20/1964
Aimee,Muniz,1/8/1963
Tremaine,Pileggi,12/8/1958
Gill,Stenning,7/19/1955
Mokhtar,Hofting,4/25/1963
Maria,Trumbly,11/8/1957
Oksana,Brizzi,8/27/1955
Uno,Chimia,7/10/1959
Kristian,Marchegay,5/15/1955
Hiroyasu,Wursthorn,11/23/1957
Evgueni,Kroon,9/25/1964
Pranjal,Babu,8/18/1957
Munir,Businaro,4/28/1959
Slavian,Pettit,6/10/1964
Shooichi,Luit,2/19/1958
Aral,Iwayama,4/23/1958
Oksana,Gide,3/7/1953
Denis,Coullard,9/4/1958
Jixiang,Thisen,10/23/1957
Rance,Provine,7/2/1956
Hideo,Coorg,2/15/1952
Arun,Azevdeo,4/10/1959
Doowon,Ermel,5/15/1960
Radhia,Kriebel,1/22/1956
Arve,Hofmeyr,11/26/1954
Tesuya,Remmers,6/17/1961
Tooru,Hettesheimer,7/18/1964
Chenye,Angot,12/22/1953
Mona,Chaudhury,6/11/1956
Richard,Marshall,7/31/1956
Claudi,Baez,4/25/1960
Halsur,Bauknecht,12/22/1962
Xiong,Engberts,4/12/1957
Tzu,Delaune,8/20/1959
Tadahiro,Lichtman,12/13/1954
Isaac,Pero,5/21/1962
Valeri,Vigier,5/27/1962
Vasilis,Narwekar,3/15/1957
Clyde,Huttel,4/5/1956
Koichi,Marrakchi,5/22/1952
Aksel,Kossowski,11/27/1953
Bingning,Etalle,11/11/1964
Fayez,Nishimukai,12/7/1963
Zhenbing,Karner,8/16/1954
Abdelwaheb,Vakili,2/24/1955
Sanjay,Anick,4/22/1953
Ortrud,Kusakabe,1/24/1960
Gaurav,Penz,6/19/1954
Giordano,Zaccaria,10/20/1961
Tua,Pluym,11/29/1964
Sastry,Bael,1/15/1958
Hongzhu,Kalsbeek,12/15/1960
Georgy,Gopalakrishnan,4/11/1962
Sachem,Egerstedt,5/24/1963
Chenxi,Thambidurai,8/12/1954
Kwan,Quaggetto,8/14/1964
Duro,Silva,3/25/1964
Tommaso,Dayang,11/22/1953
Katsuo,Benzmuller,1/18/1956
Anneli,Bennis,9/17/1957
Gita,Muhlberg,4/27/1952
Shigeo,Lampe,12/14/1958
Sastry,Madeira,8/30/1954
Weiyi,Iacovou,9/25/1954
Mikhail,Paciorek,6/15/1958
Maya,Snedden,12/1/1956
Yolla,Levasseur,11/3/1963
Mana,Wegerle,5/20/1962
Shigeaki,Sury,3/26/1957
Taiji,Nitta,4/13/1955
Navid,Falck,10/24/1962
Elvia,Bugrara,4/21/1955
Shawna,Demeyer,10/30/1953
Tzvetan,Brandsma,3/5/1954
Amabile,Haumacher,9/19/1958
Chenye,Homond,5/6/1958
Bikash,Maginnis,10/23/1964
Zhongwei,Yurek,7/17/1963
Zeljko,Kusakabe,6/19/1952
Hilari,Janetzko,7/15/1960
Divier,Farrag,12/3/1955
Ipke,Muhlberg,7/31/1959
Vincent,Claffy,3/12/1962
Fumino,Luca,9/14/1955
Adas,Quittner,11/30/1962
Nalini,Sommen,5/2/1953
Baoqiu,Motley,10/30/1956
Luisa,Sambasivam,2/13/1959
Oldrich,Henders,10/6/1960
Akeel,Esposito,8/22/1960
Arra,Staelin,8/6/1952
Nectarios,Bhattacharjee,5/27/1952
Patricia,Moehrke,4/10/1963
Remmert,Kirkerud,10/23/1959
Mitchel,Validov,12/23/1954
Flemming,Schreiter,5/9/1964
Cordelia,Setlzner,11/23/1952
Tse,Ermel,4/6/1961
Baoqiu,Plumb,9/5/1962
DeForest,Flasterstein,7/5/1962
Hideo,Boguraev,4/26/1955
Candida,Iisaku,9/13/1957
Tamiya,Luders,9/23/1961
Miomir,Mawatari,8/16/1954
Fatemeh,Redmiles,3/15/1956
Kasturi,Chinal,1/15/1960
Hirochika,Worfolk,3/19/1963
Feiyu,Pashtan,4/15/1956
Mana,Aingworth,10/27/1956
Gunilla,Chiodo,10/30/1952
Basil,Erman,8/15/1953
Aamer,Jayawardene,3/23/1963
Oddvar,Jonsson,11/18/1956
Zissis,Baba,12/30/1961
Chinhyun,Basart,10/25/1954
Ult,Anido,6/24/1954
Uri,Scharstein,8/22/1957
Ramalingam,Chachaty,6/17/1957
Charlene,Maraist,1/21/1959
Hidde,Krupka,6/2/1959
Mokhtar,Maccarone,3/31/1958
Frederique,Radivojevic,6/13/1958
KayLiang,Leivant,9/10/1960
Sumant,Birdsall,10/1/1957
Tzu,Norsworthy,1/7/1962
Arup,Morrey,12/3/1954
Poornachandra,Rotem,10/22/1960
Mitchel,Dayang,8/13/1964
Sibyl,Lorcy,8/27/1957
Vojin,Sabnani,10/13/1963
Jacqueline,Barvinok,1/11/1960
Aran,Khalid,8/24/1964
Yechezkel,Pews,7/3/1955
Vasilii,Luit,6/4/1962
Chinya,Chinin,8/10/1953
Chanjung,Matheson,11/24/1964
Qunsheng,Esteva,10/15/1961
Marit,Dalphin,10/29/1955
Lenore,Comyn,1/30/1962
Conal,Juneja,4/9/1958
Ulf,Hofstetter,11/6/1960
Luise,McFarlan,4/15/1961
Lucien,Schlenzig,2/11/1962
Frederique,Zykh,9/13/1953
Sariel,Stifter,9/26/1963
Zhilian,Coorg,12/16/1953
Syozo,Zolotykh,7/6/1961
Baziley,Vidya,9/9/1960
Apostol,Lunt,4/30/1962
Hitomi,Uludag,6/5/1956
Herbert,Kaltofen,4/15/1956
Mayumi,Lanzelotte,11/9/1952
Jaewoo,Heiserman,5/4/1953
Moon,Pleszkun,1/6/1956
Mads,Ratzlaff,3/2/1953
Bluma,Kermarrec,3/24/1955
Val,Marsiglia,1/12/1959
Xiong,Ranum,5/16/1961
Rosine,Schwabacher,9/23/1959
Odysseas,Braccini,4/8/1954
Rutger,Kilgore,3/16/1952
